id,user_id,subcategory_id,total_points
1,1,1,16
2,1,2,10
3,1,5,25
4,1,4,4
5,2,5,7
6,2,2,3
7,2,3,12
8,2,7,2
9,3,8,40
10,3,3,10
11,3,7,10
12,4,1,34
13,5,6,9
14,5,2,17
15,5,5,9
16,5,1,28
17,6,4,48
18,6,7,22
19,7,1,15
20,7,5,10
21,8,7,27
22,8,1,18
23,8,6,27
24,9,4,24
25,9,6,23
26,10,6,47
27,10,8,17
28,11,5,10
29,11,3,24
30,12,8,19
31,12,7,15
32,13,7,85
33,14,7,17
34,15,2,13
35,15,8,9
36,15,4,2
37,15,7,6
38,16,5,12
39,16,1,63
40,17,3,28
41,17,7,40
42,18,6,53
43,19,7,7
44,19,2,3
45,19,4,4
46,20,2,12
47,20,1,3
48,21,8,55
49,22,4,37
50,22,1,18
51,22,2,35
52,23,3,14
53,23,2,27
54,24,6,9
55,25,5,19
56,25,4,19
57,25,1,5
58,25,8,14
59,26,4,8
60,26,2,14
61,27,7,29
62,27,5,41
63,27,6,16
64,28,7,10
65,28,5,33
66,29,3,9
67,29,5,6
68,30,7,40
69,31,6,17
70,31,8,51
71,31,4,8
72,31,7,1
73,32,6,18
74,33,8,2
75,33,3,14
76,33,1,9
77,34,8,38
78,35,3,25
79,35,2,7
80,35,8,3
81,35,7,12
82,36,2,9
83,37,3,27
84,37,5,16
85,37,2,13
86,37,1,20
87,38,8,87
88,39,5,17
89,39,7,23
90,40,5,35
91,40,8,40
