id,user_id,subcategory_id,difficulty,score,total_questions,included_in_recommendation_batch,created_at,finished_at
1,1,1,3,7,15,1,2026-06-16 18:00:00,2026-06-16 18:30:00
2,1,1,3,0,5,0,2026-07-04 03:00:00,
3,1,1,3,9,15,0,2026-07-17 06:00:00,2026-07-17 06:30:00
4,1,2,1,4,5,1,2026-05-25 17:00:00,2026-05-25 17:10:00
5,1,5,2,5,10,0,2026-06-06 13:00:00,2026-06-06 13:20:00
6,1,4,2,4,10,1,2026-05-21 14:00:00,2026-05-21 14:20:00
7,1,4,3,0,5,0,2026-06-15 17:00:00,
8,1,5,3,0,15,0,2026-05-20 07:00:00,
9,1,4,2,0,5,0,2026-05-23 23:00:00,
10,1,5,3,11,15,1,2026-06-01 08:00:00,2026-06-01 08:30:00
11,1,5,3,2,5,1,2026-07-05 15:00:00,2026-07-05 15:10:00
12,1,2,1,6,10,0,2026-05-29 05:00:00,2026-05-29 05:20:00
13,1,5,2,4,5,1,2026-06-15 09:00:00,2026-06-15 09:10:00
14,1,5,1,3,5,1,2026-06-03 12:00:00,2026-06-03 12:10:00
15,2,5,1,7,10,1,2026-05-14 18:00:00,2026-05-14 18:20:00
16,2,2,2,3,5,1,2026-07-02 06:00:00,2026-07-02 06:10:00
17,2,3,2,10,15,1,2026-07-10 10:00:00,2026-07-10 10:30:00
18,2,7,3,2,5,1,2026-05-21 00:00:00,2026-05-21 00:10:00
19,2,3,2,2,5,0,2026-06-29 22:00:00,2026-06-29 22:10:00
20,2,7,3,0,10,0,2026-07-21 15:00:00,
21,3,8,1,4,5,0,2026-06-12 13:00:00,2026-06-12 13:10:00
22,3,3,3,0,10,0,2026-05-16 00:00:00,
23,3,8,1,7,15,0,2026-05-21 09:00:00,2026-05-21 09:30:00
24,3,3,3,10,15,1,2026-06-18 10:00:00,2026-06-18 10:30:00
25,3,7,3,7,10,1,2026-07-26 23:00:00,2026-07-26 23:20:00
26,3,8,3,7,10,1,2026-07-18 07:00:00,2026-07-18 07:20:00
27,3,7,3,3,5,1,2026-05-09 17:00:00,2026-05-09 17:10:00
28,3,8,1,9,10,0,2026-06-27 11:00:00,2026-06-27 11:20:00
29,3,3,1,0,15,0,2026-05-08 18:00:00,
30,3,8,2,13,15,1,2026-05-16 13:00:00,2026-05-16 13:30:00
